english,pos,lang1_form,language,candidate_form,similarity,method,sentence_id,sentence_length
student,NN,dóruma,lang5,ngdórumàdórumàgo,0.9032,parallel,41,7
language,NN,lóruma,lang5,lóruma,1.0,parallel,41,7
to create,VB,góruamu,lang5,nggóruwàmumu,0.8571,parallel,41,7
now,RB,hére,lang5,hére,1.0,parallel,41,7
to test,VB,zúruma,lang5,dngúrumàgo,0.7778,parallel,41,7
language,NN,lóruma,lang5,lóruma,1.0,parallel,41,7
world,NN,mógo,lang2,Mógùgù,0.6667,parallel,43,5
linguistics,NN,líneni,lang2,líínìnílí,0.8235,parallel,43,5
to welcome,VB,árama,lang2,íàràmàmí,1.0,parallel,43,5
this,DT,kogo,lang5,Kogo,1.0,parallel,16,5
documentation,NN,dénili,lang5,ngdénilili,0.8889,parallel,16,5
history,NN,sólunuzórumu,lang5,hírinili,1.0,parallel,16,5
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,16,5
to speak,VB,tálimi,lang3,Idàlímĩ́nẽ,1.0,parallel,99,8
long ago,RB,lóruma,lang3,lórúmã̀mṹ,1.0,parallel,99,8
language,NN,lóruma,lang3,lórúmãã,0.9231,parallel,99,8
language,NN,lóruma,lang3,lórúmãã,0.9231,parallel,99,8
to speak,VB,tálimi,lang3,ídàlímĩ́mĩ,1.0,parallel,99,8
student,NN,dóruma,lang3,þàdrúmã̀drúmã̀gook,0.8387,parallel,108,9
friend,NN,géri,lang3,þàgérígérí,0.8889,parallel,108,9
this,DT,kogo,lang3,kogook,0.9091,parallel,108,9
language,NN,lóruma,lang3,lórúmãã,0.9231,parallel,108,9
excited,JJ,férila,lang3,férílãã,0.9231,parallel,108,9
to share,VB,dérimi,lang3,ídérímĩ́gemẽ,1.0,parallel,108,9
day,NN,sélimi,lang4,sélímĩ,1.0,parallel,74,9
class,NN,déni,lang4,ðdénĩ́dénĩ́dìlí,0.88,parallel,74,9
to endure,VB,nérimi,lang4,ínẽ́rímĩ́dérímĩ́qgìmĩ,0.8571,parallel,74,9
many,DT,zéreni,lang4,dzérìnĩ,0.7692,parallel,74,9
student,NN,dóruma,lang4,ðdórúmã̀dórúmã̀gùùng,0.7879,parallel,74,9
coffee,NN,kávuru,lang4,kàvúrú,1.0,parallel,74,9
to need,VB,dézimi,lang4,ídézímĩ́mĩ,1.0,parallel,74,9
field,NN,xóronu,lang6,xóronũnũ,1.0,parallel,31,9
computer,NN,kómuru,lang6,kómũrugómũru,1.0,parallel,31,9
important,JJ,zórumalu,lang6,dzórumãlu,0.9412,parallel,31,9
tool,NN,tógoru,lang6,tógoru,1.0,parallel,31,9
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,31,9
language,NN,lóruma,lang3,Lórúmã̀dãã,0.9412,parallel,98,10
to grow,VB,dárimi,lang3,ídàrímĩ́gemẽ,1.0,parallel,98,10
new,JJ,nérili,lang3,nẽ́rílí,1.0,parallel,98,10
data,JJ,téreni,lang3,térenĩ,1.0,parallel,98,10
to create,VB,góruamu,lang3,úgórúàmṹgomõ,1.0,parallel,98,10
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,98,10
school,NN,dénimi,lang4,ðdénĩ́mĩ,0.9231,parallel,71,12
project,VB,gérimi,lang4,hérì,0.6,parallel,71,12
to help,VB,gérimi,lang4,àqgérímĩ́mĩ,0.9474,parallel,71,12
